[2026-02-22 16:43:49] IP: 127.0.0.1 | Пользователь: 40 | Статус:  | Событие: Пользователь qwe зарегистрировался
[2026-02-22 16:44:04] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: Пользователь admin авторизовался
[2026-02-22 16:50:29] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: Пользователь admin вышел из системы
[2026-02-22 16:50:31] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: Пользователь admin авторизовался
[2026-02-22 16:51:58] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: пользователь admin вышел из акка
[2026-02-22 16:52:00] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: пользователь admin авторизован
[2026-02-22 16:56:33] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: пользователь admin вышел из акка
[2026-02-22 16:56:42] IP: 127.0.0.1 | Пользователь: 41 | Статус: online | Событие: пользователь уцй зареган
[2026-02-22 16:58:57] IP: 127.0.0.1 | Пользователь: 41 | Статус: online | Событие: пользователь уцй вышел из акка
[2026-02-22 16:59:04] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: пользователь admin авторизован
[2026-02-22 17:01:28] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: Пользователь admin вышел из системы
[2026-02-22 17:01:52] IP: 127.0.0.1 | Пользователь: 42 | Статус:  | Событие: Пользователь qaz зарегистрировался
[2026-02-22 17:35:26] IP: 127.0.0.1 | Пользователь: 43 | Статус: online | Событие: Пользователь asdasd зарегистрировался
[2026-02-22 17:35:40] IP: 127.0.0.1 | Пользователь: 43 | Статус: online | Событие: пользователь asdasd авторизован
[2026-02-22 17:38:08] IP: 127.0.0.1 | Пользователь: 43 | Статус: online | Событие: Пользователь asdasd вышел из системы
[2026-02-22 17:38:11] IP: 127.0.0.1 | Пользователь: 43 | Статус: online | Событие: пользователь asdasd авторизован
[2026-02-22 17:38:22] IP: 127.0.0.1 | Пользователь: 43 | Статус: online | Событие: Пользователь asdasd вышел из системы
[2026-02-22 17:38:26] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: пользователь admin авторизован
[2026-02-22 17:38:29] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: пользователь admin авторизован
[2026-02-22 17:01:28] IP: 127.0.0.1 | Пользователь: 1 | Статус: online | Событие: Пользователь admin вышел из системы
[2026-02-22 17:01:52] IP: 127.0.0.1 | Пользователь: 42 | Статус:  | Событие: Пользователь qaz зарегистрировался
[2026-02-22 17:35:26] IP: 127.0.0.1 | Пользователь: 43 | Статус: online | Событие: Пользователь asdasd зарегистрировался
